temp_coor
"(37.9161378, 69.7815382)"
""
"(43.4902317, 2.3764363)"
"(18.9897368, -97.4484353)"
"(38.6319657, -90.2428756)"
"(6.0000085, -77.0000086)"
"(50.6883603, 7.6377853203074615)"
"(35.21476065, 25.71221549965381)"
"(40.4490985, -79.8982453)"
"(32.1288331, 20.0817204)"
"(49.82921075, -2.49845361947528)"
""
""
"(17.8346002, -93.9307689)"
"(53.785097, -1.099040720243205)"
""
"(49.453872, 11.077298)"
"(51.5073219, -0.1276474)"
""
"(55.758285650000005, 37.60436886144644)"
""
"(51.3713049, -0.101957)"
""
"(47.5382349, -116.118887)"
""
"(32.9384683, -96.81888258922507)"
"(32.0437694, 118.7788749)"
"(34.3798765, -118.5291917)"
""
""
"(35.7032751, -0.6492976)"
"(37.7255163, -122.4343609)"
""
""
""
"(41.2228616, -75.5476872)"
""
"(40.014561, -74.3112574)"
"(48.7784485, 9.1800132)"
""
"(44.933143, 7.540121)"
""
"(50.7360524, 4.2374349)"
"(21.7960994, 31.3718673)"
""
"(47.13897525, 24.49755169876672)"
""
"(29.2108147, -81.0228331)"
"(-33.2762202, -65.9515546)"
"(-7.3403142, 146.7172732)"
""
""
""
""
"(52.2337172, 21.071432235636493)"
"(49.4892913, 8.4673098)"
"(52.2337172, 21.071432235636493)"
"(51.2258565, 2.919496)"
"(51.3713049, -0.101957)"
"(48.1371079, 11.5753822)"
""
"(40.63591975, 17.688443357842537)"
"(47.35727, 5.41413)"
""
"(50.1106444, 8.6820917)"
"(45.6794293, -111.044047)"
""
"(45.00974195, -80.04597932602417)"
""
"(67.151442, 32.4130551)"
"(34.8980615, -104.8282135)"
"(43.2961743, 5.3699525)"
"(35.0000035, 19.9999957)"
"(49.0508845, 2.1008067)"
""
"(25.75, 78.5)"
"(-30.9392349, 150.6406221)"
"(42.4662469, 2.5792263)"
""
"(19.4231214, -99.1023994)"
"(-44.270871150000005, -176.29313281747733)"
""
"(-23.5506507, -46.6333824)"
"(41.4996574, -81.6936772)"
""
"(53.7408705, 7.485916907277579)"
""
""
"(45.7874957, -108.49607)"
"(40.825294, 8.434269166260979)"
"(5.627871750000001, -75.94516744951865)"
""
"(-0.1029109, 34.7541761)"
""
"(47.531399, 21.6259782)"
"(32.27912565, 130.23703362826126)"
""
"(54.3227085, 10.135555)"
"(-22.888889, -47.065556)"
"(44.4361414, 26.1027202)"
""
""
"(35.6828387, 139.7594549)"
""
"(-17.5241721, 146.0311418)"
""
"(46.6960615, 9.6027351)"
"(51.5725501, 8.1061259)"
"(-37.8321508, 145.3551849)"
"(51.161750850000004, -3.0753867062227487)"
""
"(52.30812615, 4.758460293589845)"
"(50.44876, -104.61731)"
""
"(33.3061701, 44.3872213)"
""
"(19.4326296, -99.1331785)"
""
"(52.3727598, 4.8936041)"
"(-12.46044, 130.8410469)"
"(48.8588897, 2.3200410217200766)"
"(-22.9110137, -43.2093727)"
"(46.4085273, -105.840981)"
"(-14.4646157, 132.2635993)"
""
"(58.3019496, -134.419734)"
""
"(50.8909441, 4.4157553)"
"(5.253198, -75.1544544)"
""
"(35.4729886, -97.5170536)"
""
"(-15.0193104, 40.667623)"
""
"(-2.1900563, -79.8868741)"
"(52.30812615, 4.758460293589845)"
"(51.49433865, 3.415005767601362)"
"(54.664193, -2.2063877)"
"(47.096913, 8.2712723)"
"(41.3828939, 2.1774322)"
""
"(55.6823976, 12.4836806)"
"(40.5739025, -74.32629552522194)"
"(52.3744779, 9.7385532)"
"(56.74123355, 2.8911717166880475)"
""
"(50.7952074, -1.1210853)"
"(39.1554938, 23.2118116)"
""
"(31.5118281, -9.7620903)"
"(-8.6524973, 115.2191175)"
""
""
"(24.213802899999997, 58.9845822868196)"
"(38.791796250000004, 15.211175249544858)"
""
"(33.917028, -118.4156337)"
""
""
"(21.6841677, 108.3678711)"
"(52.3744779, 9.7385532)"
"(-27.4377953, 152.9834191)"
""
"(46.769379, 23.5899542)"
""
"(45.5548793, 18.6953685)"
""
"(52.5170365, 13.3888599)"
""
""
"(-22.9110137, -43.2093727)"
"(52.8455492, 13.2461296)"
"(35.0000035, 19.9999957)"
"(41.8755616, -87.6244212)"
"(40.54877475, 14.22808744705355)"
"(35.0000035, 19.9999957)"
""
""
"(26.4262087, 117.83855959681293)"
""
"(50.302131, -89.0373698)"
"(33.7489924, -84.3902644)"
""
"(-33.7266595, 25.1339701)"
"(35.2698375, -75.52139777222223)"
"(44.4361414, 26.1027202)"
"(43.060053350000004, 137.33530126992395)"
"(41.8933203, 12.4829321)"
"(55.57743995, -5.252119254274354)"
"(55.4628044, -4.6302502)"
"(-23.533227750000002, -46.66720799209275)"
""
"(55.4241858, -5.6051005)"
""
"(18.465299, -66.116666)"
""
""
"(42.779022, -81.1929882)"
""
"(25.7741728, -80.19362)"
"(43.4480019, 77.0495987)"
"(5.8927453, 95.3225751)"
"(36.098267750000005, -115.16411744999999)"
"(-10.1632209, 123.6017755)"
"(-10.1485277, 123.6494735)"
""
""
"(34.5852794, 113.8235049)"
"(-27.50679155, 153.1336795013321)"
"(-9.9999999, 69.9999999)"
"(-15.4867977, 128.1236196)"
""
"(24.8843019, 102.8324209)"
"(-13.8240162, 131.835484)"
"(40.7596198, -111.8867975)"
"(46.4085273, -105.840981)"
"(41.73716705, 12.628098369971475)"
""
""
"(50.99609075, -3.048310519969391)"
"(36.7753606, 3.0601882)"
"(44.933143, 7.540121)"
"(10.443024300000001, -61.26130538878063)"
""
""
"(36.5939375, 3.91993)"
"(-23.533227750000002, -46.66720799209275)"
"(24.8843019, 102.8324209)"
""
"(49.14219, -55.343628)"
"(56.27076, 54.931702)"
"(44.7969508, 10.3588437)"
"(33.772179449999996, -116.49529769683983)"
"(7.8933591, -73.3961331)"
"(60.5000209, 9.0999715)"
""
""
"(40.2621714, -112.092996)"
"(48.2171331, 16.3515022)"
""
""
""
""
"(39.1501662, -123.2077861)"
""
""
"(47.6038321, -122.330062)"
"(38.7077507, -9.1365919)"
""
"(22.2761593, 114.1715787)"
"(-27.569485999999998, 153.00873765975757)"
"(56.74123355, 2.8911717166880475)"
""
""
"(34.815158, -79.1837649)"
"(-22.2745264, 166.442419)"
""
"(15.5635972, 32.5349123)"
"(15.5635972, 32.5349123)"
"(36.1285933, -5.3474761)"
"(52.2757233, -10.2429647)"
"(36.7853194, -86.3533242)"
"(44.9417468, 26.0236504)"
"(-19.3074674, 146.76668647187117)"
""
"(36.17262995, 27.919418145633188)"
"(-22.9110137, -43.2093727)"
"(56.74123355, 2.8911717166880475)"
"(29.4150457, -95.1137941)"
""
"(22.580492999999997, 88.38951904999999)"
""
"(46.318718, -74.221916)"
"(57.538006100000004, 14.855872956440011)"
"(32.4610708, -84.9880449)"
"(14.6708468, 121.1121917)"
"(18.521428, 73.8544541)"
"(24.8843019, 102.8324209)"
"(24.8843019, 102.8324209)"
"(-9.40997445, 147.17343971106237)"
""
"(28.58689, 104.718661)"
"(-22.947057, 150.4260131367603)"
"(41.2224303, -112.8655343)"
"(44.788099349999996, 20.452295813899802)"
"(35.1335022, -89.9668758)"
""
"(35.000074, 104.999927)"
""
"(-5.522593049999999, 142.08709052245882)"
""
"(44.788099349999996, 20.452295813899802)"
""
"(45.5031824, -73.5698065)"
""
""
"(49.3891667, 0.1886111)"
"(49.6348243, 0.839636)"
"(49.30329, -1.2463444)"
"(24.8843019, 102.8324209)"
"(22.3331324, 114.1637681)"
"(-30.0324999, -51.2303767)"
"(43.6610277, -70.2548596)"
""
"(40.0, -40.0)"
"(54.7234041, -4.9546277)"
""
"(42.9636101, -99.0967626)"
""
"(52.3209345, 1.5979437)"
""
"(55.503242, -4.620250393209877)"
""
"(-23.5506507, -46.6333824)"
"(44.788099349999996, 20.452295813899802)"
""
"(37.5419685, -100.6296)"
"(64.4459613, -149.680909)"
"(-20.2447972, -42.8970432)"
""
""
"(44.3053476, 17.5961467)"
"(-33.8698439, 151.2082848)"
"(-33.8698439, 151.2082848)"
"(59.9063655, 10.6848421)"
"(47.735250300000004, 18.065637681746146)"
"(53.3895177, -3.0248007)"
"(36.3274502, -119.6456844)"
"(30.3321838, -81.655651)"
"(59.57344535, 8.512253409438468)"
""
"(50.8746139, 0.005115324110936268)"
"(-1.30325275, 36.826367685558694)"
"(14.0694409, -87.184763)"
""
""
"(34.1866193, -118.4486675)"
"(35.2698375, -75.52139777222223)"
"(51.91383, 32.816158)"
"(49.82921075, -2.49845361947528)"
""
"(10.6472492, -61.51139452899346)"
"(34.1816482, -118.3258554)"
"(35.000074, 104.999927)"
""
"(-9.346017100000001, 124.63707741045215)"
"(-37.020796, 144.5315217)"
""
""
"(37.7981283, -122.2639813)"
"(-19.1832417, -51.3998026)"
""
"(39.5128606, -80.2258567)"
"(33.5950627, -7.6187768)"
""
"(24.8843019, 102.8324209)"
"(39.6296809, -79.9559437)"
"(-27.487412, 153.077998)"
""
"(32.4709519, -100.405938)"
""
""
"(38.8950368, -77.0365427)"
""
"(51.1132995, -0.7332662)"
"(49.6986186, 2.7930755)"
""
""
"(35.000074, 104.999927)"
""
"(50.6086976, -1.9571971)"
"(12.9767936, 77.590082)"
"(31.2638905, -98.5456116)"
"(40.0, -40.0)"
"(-0.2283721, 35.1563041)"
""
"(40.7127281, -74.0060152)"
""
"(14.6027962, -61.0676724)"
""
"(34.1984435, -79.7671658)"
""
""
""
""
"(28.0394654, -81.9498042)"
"(51.2910096, -0.8557576)"
"(48.1113387, -1.6800198)"
"(50.9170725, 4.4758811)"
""
""
""
""
"(-6.4877198, -76.3598708)"
"(35.8989818, 14.5136759)"
""
"(48.7822431, 8.447167860541505)"
""
""
""
""
""
"(27.985688, 86.9163367)"
""
""
""
"(53.3310958, 0.2683106)"
""
""
""
"(45.7960035, -108.51698421049741)"
"(59.9800631, 10.6652973)"
""
""
"(40.7830439, -73.9527658)"
"(33.5206824, -86.8024326)"
"(43.8130735, 125.3171216)"
""
"(47.0706778, 3.0029271)"
"(41.4989861, -72.900658)"
"(49.6055374, -114.4971396)"
""
"(41.724521, -106.3184436)"
"(10.0206654, 122.97715983111425)"
"(46.234953, -63.132935)"
"(32.6906137, -116.334462)"
""
"(-42.8388662, 147.5061228)"
""
""
"(39.4004621, -120.183811)"
""
""
"(36.0428907, 14.2398479)"
"(34.2536566, 108.9386562)"
""
""
"(30.8576858, -86.8730163)"
"(37.5385087, -77.43428)"
"(59.9133301, 10.7389701)"
""
"(8.7895216, -79.56073999876523)"
""
""
"(43.2957547, -0.3685668)"
"(42.2071434, -72.60765)"
"(40.335345, -75.9279495)"
"(36.6507007, 117.1140042)"
"(-2.8974072, -79.0041726)"
"(39.350833, -101.7101722)"
""
"(16.783333, 94.733333)"
""
"(59.9133301, 10.7389701)"
"(40.014561, -74.3112574)"
"(35.8609142, 14.4887901)"
"(49.4404591, 1.0939658)"
"(41.5058344, -90.5136642)"
"(30.0443879, 31.2357257)"
""
"(55.3410225, 12.4062467)"
"(48.9351403, 2.4258354)"
"(41.1958128, -115.3272864)"
""
"(64.4989922, -165.39879944316317)"
"(49.1428076, -102.9910752)"
"(50.8465573, 4.351697)"
""
""
""
""
""
"(-20.2447972, -42.8970432)"
"(48.5452022, -58.5871146)"
""
"(52.17957375, 5.930077460807249)"
"(41.139981, -104.820246)"
""
"(41.311367, -105.591101)"
""
""
"(46.0292761, 1.4188089)"
"(55.758285650000005, 37.60436886144644)"
"(41.4996574, -81.6936772)"
"(34.8416435, -118.8648189)"
""
"(52.3727598, 4.8936041)"
"(30.0, -170.0)"
"(9.9325427, -84.0795782)"
"(-34.6225227, -58.595568)"
"(36.2974945, 59.6059232)"
"(34.6871803, 135.6453428)"
"(46.4401007, -122.8467555)"
""
""
""
"(32.55946645, -117.06318302701601)"
""
"(31.3135175, 121.4857295)"
"(31.2322758, 121.4692071)"
"(39.069122, -89.61893098760513)"
""
"(41.7075394, -86.8950297)"
"(-23.5506507, -46.6333824)"
"(36.0638034, 120.3781372)"
"(39.4342818, -75.1212927)"
""
""
""
""
""
"(51.3315798, -0.1833059)"
"(29.5647398, 106.5478767)"
"(22.2793278, 114.1628131)"
"(55.6867243, 12.5700724)"
""
""
"(38.9237244, -75.5777033)"
"(40.2439312, -4.9108472)"
"(39.7392364, -104.984862)"
""
""
"(30.05518, 107.8748712)"
""
""
""
"(6.6192385, -75.9684928)"
"(45.0367303, 5.5298791)"
"(6.29437795, -75.54975026592507)"
"(7.2094282, 79.833117)"
""
""
"(32.4610708, -84.9880449)"
""
""
"(39.247595399999994, -75.30105997051399)"
""
"(40.7757145, -73.87336398511545)"
"(35.464797, 139.323536)"
""
"(39.6029087, -76.1132172)"
""
""
"(39.1154496, -77.5645446)"
"(35.0166667, 40.45)"
""
""
"(28.106471, -80.6371513)"
"(46.1239268, 3.4203712)"
""
"(-34.6510527, -58.6217416)"
""
"(-33.003544, -60.6265825)"
"(30.0, -170.0)"
"(40.7127281, -74.0060152)"
"(55.6052931, 13.0001566)"
"(44.4361414, 26.1027202)"
"(38.3737755, -110.706401)"
""
""
""
""
""
"(35.3737111, -83.2259803)"
"(37.618409, -112.1422341)"
""
"(55.1407297, -131.44598064067569)"
"(34.0994791, 74.8145986)"
"(13.1387124, 123.7398436)"
"(35.5283506, -108.743907)"
""
"(43.8508235, -104.1932166)"
"(40.6496643, 14.6122753)"
""
"(44.933143, 7.540121)"
"(59.572734499999996, -139.57831243878087)"
""
""
"(47.6038321, -122.330062)"
""
"(35.1888448, -89.79089066807877)"
"(63.3233807, 97.0979974)"
"(24.8843019, 102.8324209)"
""
"(21.1218598, -101.6825081)"
"(48.8588897, 2.3200410217200766)"
"(51.5775626, -0.4278453)"
""
""
""
"(38.784824900000004, -76.9694017673286)"
""
""
""
"(30.3869765, -81.538882)"
""
""
"(43.588912, 10.476264)"
""
"(7.0648306, 125.6080623)"
"(39.9622601, -83.0007065)"
""
""
"(51.46773895, -0.4587800741571181)"
""
"(41.8755616, -87.6244212)"
"(62.213889, -144.128889)"
""
"(4.4466742, -75.2159368)"
"(42.2302979, 9.1202731)"
""
"(11.8948389, 8.5364136)"
"(52.7093263, -8.876893685751469)"
""
"(52.28979145, 104.29383235)"
""
""
"(-27.4264699, 29.1637064)"
"(39.9622601, -83.0007065)"
""
"(51.6312684, 136.121524)"
"(38.9950921, -1.8559154)"
"(54.1936805, -4.5591148)"
"(40.7968393, -76.4131097)"
""
"(10.60316215, -66.99667670060362)"
"(51.0037524, 4.6290719)"
"(51.5484582, -0.3695247)"
""
"(-1.45056, -48.4682453)"
""
"(48.8562821, -64.2010241)"
"(-34.6075682, -58.4370894)"
"(36.0638034, 120.3781372)"
"(24.8546842, 67.0207055)"
""
"(-41.3209311, 174.1356457795796)"
"(10.5390525, -67.22182660332874)"
""
""
""
"(46.8433208, 74.9773285)"
""
""
"(55.50230535, -4.577596602973978)"
"(-39.2812032, 175.5642887)"
""
""
"(53.406394, -2.0496828)"
"(58.198386150000005, -136.6402128445797)"
"(-37.3875384, 144.5757825)"
"(53.4071991, -2.99168)"
""
"(30.0, 72.333333)"
""
"(45.4641943, 9.1896346)"
"(25.0375198, 121.5636796)"
""
""
"(22.3139519, 114.36521487604794)"
""
""
""
"(47.6038321, -122.330062)"
"(-23.8068561, -46.03070425611907)"
"(38.693454849999995, -76.88430810208973)"
""
"(31.2026045, 29.8739828)"
""
""
""
"(59.6440876, -151.5401477)"
"(40.8257072, -73.6958069)"
"(48.049379599999995, -53.40589453152174)"
""
"(3.805, -77.2)"
"(55.6823976, 12.4836806)"
""
""
""
""
"(-28.170386, 153.53044811991248)"
"(52.5170365, 13.3888599)"
"(-40.8759634, 175.065612)"
""
"(45.0805149, 7.7670995)"
""
""
""
""
""
"(18.465299, -66.116666)"
"(41.2038753, 16.60138)"
""
"(34.2595715, -118.6023247)"
"(19.0392488, 72.9393322)"
""
"(47.6038321, -122.330062)"
"(54.599422, 99.844017)"
"(40.1153966, -74.6412727)"
"(-28.8836757, -50.3580098)"
"(-22.9202129, -43.0937117)"
"(-1.31756525, -78.5766164791466)"
"(17.0174945, 54.1010923)"
""
""
"(53.5294281, -2.0717988)"
""
"(-4.3217055, 15.3125974)"
""
"(19.3663481, -99.167667)"
""
"(41.139981, -104.820246)"
"(37.80855645, -25.473137391245295)"
"(38.8769326, -77.0893094)"
"(41.083064, -81.518485)"
"(22.5726723, 88.3638815)"
""
""
"(32.7762719, -96.7968559)"
"(45.587131, 4.9952268)"
""
"(38.1040864, -122.2566367)"
""
""
"(38.9074322, -77.0350922)"
"(24.85710585, 67.7745938462678)"
"(18.8497366, -97.1060062)"
"(48.934231, 2.499789)"
""
"(56.839104, 60.60825)"
"(38.9950921, -1.8559154)"
""
""
"(10.9522168, 122.5799456)"
""
"(56.74123355, 2.8911717166880475)"
""
"(44.9772995, -93.2654692)"
"(10.7758439, 106.7017555)"
""
